type;uitleg;waterlichaamcategorie;groep
Pz;zoete polderwaterloop;rivier;polder
BgK;grote beek Kempen;rivier;kempen
BkK;kleine beek Kempen;rivier;kempen
RtNt;rivier type niet toegekend;rivier;rivier
NVT;NA;NA;NA
Rk;kleine rivier;rivier;rivier
Awe;Groot, diep, eutroof, alkalisch meer;meer;meer
O2zout;Zout, mesotidaal laaglandestuarium;overgangswater;overgangswater
Rzg;Zeer grote rivier;rivier;zeer_grote_rivier
Pb;Brakke polderwaterloop;rivier;polder
Bk;kleine beek Kempen;rivier;beek
Bg;grote beek Kempen;rivier;beek
O1brak;Brak, macrotidaal laaglandestuarium;overgangswater;overgangswater
O1o;Zwak brak (oligohalien), macrotidaal laaglandestuarium;overgangswater;overgangswater
Mlz;Zoet, mesotidaal laaglandestuarium;overgangswater;overgangswater
Rg;grote rivier;rivier;rivier
Ami;Matig ionenrijk, alkalisch meer;meer;meer
Bzl;zeer licht brak meer;meer;meer
NA;NA;NA;NA
Awom;Groot, diep, oligotroof tot mesotroof, alkalisch meer;meer;meer
Ai;Ionenrijk, alkalisch meer;meer;meer
Bs;sterk brak meer;meer;meer
